59049,4/1/2018,4,CP30,CP18
591051,4/1/2018,3,CP30,CP16
591359,4/1/2018,2,CP30,CP30
59391,4/1/2018,4,CP30,CP18
59590,4/1/2018,4,CP30,CP16
60407,4/1/2018,2,CP5,CP31
60468,4/1/2018,2,CP18,CP31
60486,4/1/2018,2,CP18,CP31
60741,4/1/2018,1,CP18,CP31
60758,4/1/2018,1,CP30,CP5
60929,4/1/2018,1,CP30,CP18
60953,4/1/2018,1,CP18,CP31
59491,4/2/2018,4,CP17,CP17
59888,4/2/2018,4,CP31,CP17
60366,4/2/2018,2,CP31,CP17
60501,4/2/2018,2,CP31,CP17
60827,4/2/2018,1,CP17,CP17
60942,4/2/2018,1,CP17,CP17
60957,4/2/2018,1,CP31,CP17
60130,4/3/2018,2,CP7,CP12
60380,4/3/2018,2,CP7,CP12
60462,4/3/2018,2,CP7,CP12
60941,4/3/2018,1,CP17,CP7
60951,4/3/2018,1,CP7,CP12
59368,4/4/2018,5,CP12,CP21
59833,4/4/2018,3,CP12,CP21
60973,4/4/2018,1,CP12,CP21
60975,4/4/2018,1,CP12,CP21
591192,4/5/2018,3,CP21,CP3
60041,4/5/2018,2,CP21,CP3
60098,4/5/2018,3,CP3,CP3
60908,4/5/2018,1,CP12,CP21
60914,4/5/2018,1,CP3,CP3
60927,4/5/2018,1,CP3,CP3
60945,4/5/2018,1,CP21,CP3
60967,4/5/2018,1,CP3,CP3
59052,4/6/2018,4,CP25,
591205,4/6/2018,2,CP25,CP25
60260,4/7/2018,1,CP25,CP23
591139,4/8/2018,3,CP15,CP24
591360,4/8/2018,3,CP15,CP24
59301,4/8/2018,5,CP15,CP26
59951,4/8/2018,4,CP28,CP26
59953,4/8/2018,4,CP23,CP15
60063,4/8/2018,3,CP28,CP26
60104,4/8/2018,3,CP28,CP26
60166,4/8/2018,2,CP28,CP26
60458,4/8/2018,2,CP28,CP24
60495,4/8/2018,2,CP28,CP26
60532,4/8/2018,2,CP15,CP26
60552,4/8/2018,2,CP15,CP26
60558,4/8/2018,2,CP28,CP15
60676,4/8/2018,1,CP18,CP24
60801,4/8/2018,1,CP23,CP15
60902,4/8/2018,1,CP15,CP26
60916,4/8/2018,1,CP15,CP15
60983,4/8/2018,1,CP15,CP24
591195,4/9/2018,3,CP24,CP8
591337,4/9/2018,3,CP26,CP8
